flat,street,postcode
3,DUCKWORTH ROAD,EX2 9BP
25,SOUTHBROOK ROAD,EX2 6JA
21,REGENT STREET,EX2 9EJ
7,CODRINGTON STREET,EX1 2BU
91,VICTORIA STREET,EX4 6JG
13,KINGS ROAD,EX4 7AS
1,NEWCOMBE TERRACE,EX1 2TE
31,CASTLE MOUNT,EX4 4JW
58,ST. ANNES ROAD,EX1 2QD
16,ARCHIBALD ROAD,EX1 1SA
,CHURCH STREET,EX2 5EJ
,DRYDEN ROAD,EX2 5BS
12,SMYTHEN STREET,EX1 1BN
64,WELLINGTON ROAD,EX2 9DX
6,TREWS WEIR COURT,EX2 4JS
105,WONFORD STREET,EX2 5AA
,WESTERN ROAD,EX4 1DT
,NEW NORTH ROAD,EX4 4JN
,EXWICK ROAD,EX4 2AS
,SOUTHERNHAY GARDENS,EX1 1UN
163,MAGDALEN ROAD,EX2 4TT
3,COLLEGE ROAD,EX1 1TE
29,GUILDHALL SHOPPING CENTRE,EX4 3HP
,SALTERS ROAD,EX2 5SZ
,RED LION LANE,EX1 2FG
92,CHANCELLORS WAY,EX4 9DX
23,ST. LOYES TERRACE,EX2 5DD
17,LEGION WAY,EX2 8TF
9,FRIARS WALK,EX2 4AY
15,PARK ROAD,EX1 2HS
,PROSPECT PLACE,EX4 1HX
61,ELIZABETH AVENUE,EX4 7EQ
6,LETHBRIDGE ROAD,EX2 5LE
12,NEWCOMBE STREET,EX1 2TG
32,BENNETT SQUARE,EX4 8AY
3,ESSEX CLOSE,EX4 1LS
152,MINCINGLAKE ROAD,EX4 7DT
2,GATE REACH,EX2 6GA
,WESTERN WAY,EX1 2ZS
53,REDHILLS CLOSE,EX4 1SE
43,KING ARTHURS ROAD,EX4 9BG
,POLSLOE ROAD,EX1 2NF
48,CECIL ROAD,EX2 9AQ
52,WYKES ROAD,EX1 2UG
21,COLLINS ROAD,EX4 5DH
151,MINCINGLAKE ROAD,EX4 7DT
,COPPLESTONE DRIVE,EX4 4NH
56,OLD TIVERTON ROAD,EX4 6NG
,RED LION LANE,EX1 2FH
82,PENNSYLVANIA ROAD,EX4 6DG
47,CULVERLAND ROAD,EX4 6JJ
,RENNES DRIVE,EX4 4RN
,WESTERN WAY,EX1 2ZS
24,SOUTHERNHAY EAST,EX1 1QL
23,ELIZABETH AVENUE,EX4 7EH
48,ADDISON CLOSE,EX4 1SL
3,EXE VALE ROAD,EX2 6LD
27,EXE VALE ROAD,EX2 6LF
292,PINHOE ROAD,EX4 8AA
101,SIDWELL STREET,EX4 6RF
97,COWICK LANE,EX2 9HG
103,KING ARTHURS ROAD,EX4 9DS
53,OLD BAKERY CLOSE,EX4 2UZ
,NEW NORTH ROAD,EX4 4FZ
5,BRIDESPRING WALK,EX4 7EX
,COPPLESTONE DRIVE,EX4 4NH
34,LAKELANDS DRIVE,EX4 2QB
25,COTFIELD STREET,EX2 8EE
33,ALDRIN ROAD,EX4 5DN
20,ST. SIDWELLS AVENUE,EX4 6QW
27,NICHOLAS ROAD,EX1 3AT
17,SCOTT AVENUE,EX2 6BY
188,CHESTNUT AVENUE,EX2 6DP
27,BEVERLEY CLOSE,EX2 5NN
78,ISLEWORTH ROAD,EX4 1QY
16,SAXON ROAD,EX1 2TD
,WESTERN WAY,EX1 2ZS
59,JOHN LEVERS WAY,EX4 1DZ
78,BUTTS ROAD,EX2 5BL
13,CLINTON STREET,EX4 1AX
,GROSVENOR PLACE,EX1 2HJ
24,LONSDALE ROAD,EX1 3DP
6,THORN CLOSE,EX1 3HW
49,ST. ANNES ROAD,EX1 2QD
,MATFORD ROAD,EX2 4PE
19,PENNSYLVANIA ROAD,EX4 6BX
,MELBOURNE STREET,EX2 4DF
54,PINHOE ROAD,EX4 7HL
40,DENMARK ROAD,EX1 1SE
,WATERGATE,EX2 4DE
,HEAVITREE ROAD,EX1 2JW
19,EXE VALE ROAD,EX2 6LF
10,WOODBURY VIEW,EX2 9JQ
20,GRENDON ROAD,EX1 2NJ
6,WILLEYS AVENUE,EX2 8EH
15,WOODWATER LANE,EX2 5AR
,KING WILLIAM STREET,EX4 6PD
33,KING STREET,EX1 1BJ
,POLSLOE ROAD,EX1 2DN
19,WONFORD STREET,EX2 5DL
46,WELLINGTON ROAD,EX2 9DX
15,CHIEFTAIN WAY,EX2 9DR
,BARTHOLOMEW STREET EAST,EX4 3BH
2,FORTESCUE ROAD,EX2 8LA
42,TOLLARDS ROAD,EX2 6JJ
148,TOPSHAM ROAD,EX2 4RG
1,BRIDESPRING WALK,EX4 7EX
56,MARGARET ROAD,EX4 7DN
10,MARGARET ROAD,EX4 7DJ
64,ROWAN WAY,EX4 2DT
25,RACK STREET,EX1 1DQ
5,RUGBY ROAD,EX4 1BH
3,REDHILLS,EX4 1TP
29,CORDERY ROAD,EX2 9DJ
9,HOLNE RISE,EX2 5NL
61,REDHILLS CLOSE,EX4 1SE
24,SCHOOL LANE,EX2 6LB
85,ALPHINGTON ROAD,EX2 8JE
10,MAY STREET,EX4 6LL
44,MAPLE ROAD,EX4 1BP
21,EDWIN ROAD,EX2 8JF
31,HOWELL ROAD,EX4 4LT
1,ELLIOTT CLOSE,EX4 5ED
27,PERYAM CRESCENT,EX2 5LJ
46,ARGYLL ROAD,EX4 4RY
26,COWICK ROAD,EX2 9BE
58,BEACON AVENUE,EX4 7JE
